search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 11
progress: nodes=10,000,000 tested=0 found=0 n=416136912402829283191383 elapsed=1s
progress: nodes=20,000,000 tested=0 found=0 n=927697224283782777700161 elapsed=2s
progress: nodes=30,000,000 tested=0 found=0 n=442447290421994225526873 elapsed=2s
progress: nodes=40,000,000 tested=0 found=0 n=149226442364140948584921 elapsed=3s
progress: nodes=50,000,000 tested=0 found=0 n=635929151599634887069647 elapsed=4s
progress: nodes=60,000,000 tested=0 found=0 n=303421949438316676462209 elapsed=5s
progress: nodes=70,000,000 tested=0 found=0 n=704266355972627180614167 elapsed=5s
progress: nodes=80,000,000 tested=0 found=0 n=759636122284445725704099 elapsed=6s
progress: nodes=90,000,000 tested=0 found=0 n=131754415480706660158803 elapsed=7s
progress: nodes=100,000,000 tested=0 found=0 n=892132913542143451558809 elapsed=8s
progress: nodes=110,000,000 tested=0 found=0 n=391151516123652519503697 elapsed=9s
progress: nodes=120,000,000 tested=0 found=0 n=638632827995287448563383 elapsed=9s
progress: nodes=130,000,000 tested=0 found=0 n=744978511041658977672303 elapsed=10s
progress: nodes=140,000,000 tested=0 found=0 n=151911710312588181057531 elapsed=11s
progress: nodes=150,000,000 tested=0 found=0 n=382488252246873658126527 elapsed=12s
progress: nodes=160,000,000 tested=0 found=0 n=541978987866094576391451 elapsed=12s
progress: nodes=170,000,000 tested=0 found=0 n=482906502212447036551971 elapsed=13s
progress: nodes=180,000,000 tested=0 found=0 n=207981252419430099950769 elapsed=14s
progress: nodes=190,000,000 tested=0 found=0 n=272535453911190779955789 elapsed=15s
progress: nodes=200,000,000 tested=0 found=0 n=784780416693826761813033 elapsed=16s
progress: nodes=210,000,000 tested=0 found=0 n=177925244036123539867197 elapsed=16s
progress: nodes=220,000,000 tested=0 found=0 n=380464451141117348797077 elapsed=17s
progress: nodes=230,000,000 tested=0 found=0 n=330808201222869390804927 elapsed=18s
progress: nodes=240,000,000 tested=0 found=0 n=164839582543660865528259 elapsed=19s
progress: nodes=250,000,000 tested=0 found=0 n=70760098330909262937519 elapsed=19s
progress: nodes=260,000,000 tested=0 found=0 n=171007356896346606776283 elapsed=20s
progress: nodes=270,000,000 tested=0 found=0 n=751548783637122824659449 elapsed=21s
progress: nodes=280,000,000 tested=0 found=0 n=122787262804555135376733 elapsed=22s
progress: nodes=290,000,000 tested=0 found=0 n=355506587308102698113217 elapsed=23s
progress: nodes=300,000,000 tested=0 found=0 n=261193412743553137709433 elapsed=23s
progress: nodes=310,000,000 tested=0 found=0 n=98874555682903779790869 elapsed=24s
progress: nodes=320,000,000 tested=0 found=0 n=60773924872366122584739 elapsed=25s
progress: nodes=330,000,000 tested=0 found=0 n=859956514469292939507237 elapsed=26s
progress: nodes=340,000,000 tested=0 found=0 n=857275507450800957485109 elapsed=27s
progress: nodes=350,000,000 tested=0 found=0 n=739457118106685159092197 elapsed=27s
progress: nodes=360,000,000 tested=0 found=0 n=72302969655733911493971 elapsed=28s
progress: nodes=370,000,000 tested=0 found=0 n=196530834797806386130539 elapsed=29s
progress: nodes=380,000,000 tested=0 found=0 n=130700462347634424518559 elapsed=30s
progress: nodes=390,000,000 tested=0 found=0 n=95458789045923847778949 elapsed=31s
progress: nodes=400,000,000 tested=0 found=0 n=22350764806720772476197 elapsed=31s
progress: nodes=410,000,000 tested=0 found=0 n=57600902699325347444511 elapsed=32s
progress: nodes=420,000,000 tested=0 found=0 n=15545173584983824858791 elapsed=33s
progress: nodes=430,000,000 tested=0 found=0 n=27790412500913720439639 elapsed=34s
progress: nodes=440,000,000 tested=0 found=0 n=145010685208156242140523 elapsed=34s
progress: nodes=450,000,000 tested=0 found=0 n=11480305054404437771091 elapsed=35s
progress: nodes=460,000,000 tested=0 found=0 n=10618708448140076775777 elapsed=36s
progress: nodes=470,000,000 tested=0 found=0 n=8398639613559797109651 elapsed=37s
progress: nodes=480,000,000 tested=0 found=0 n=18991055122524516607719 elapsed=38s
progress: nodes=490,000,000 tested=0 found=0 n=19546342760199943072671 elapsed=38s
progress: nodes=500,000,000 tested=0 found=0 n=236561428393358616135159 elapsed=39s
progress: nodes=510,000,000 tested=0 found=0 n=195753849643026552245511 elapsed=40s
progress: nodes=520,000,000 tested=0 found=0 n=155541532460572365247569 elapsed=41s
progress: nodes=530,000,000 tested=0 found=0 n=2853726430261933802433 elapsed=42s
progress: nodes=540,000,000 tested=0 found=0 n=486788785299724308797253 elapsed=42s
progress: nodes=550,000,000 tested=0 found=0 n=10578243382956827725719 elapsed=43s
progress: nodes=560,000,000 tested=0 found=0 n=24364332725190233293947 elapsed=44s
progress: nodes=570,000,000 tested=0 found=0 n=5318406277221431398719 elapsed=45s
progress: nodes=580,000,000 tested=0 found=0 n=721453438321471474956051 elapsed=45s
progress: nodes=590,000,000 tested=0 found=0 n=40871797807231623516999 elapsed=46s
progress: nodes=600,000,000 tested=0 found=0 n=7155677362571737251681 elapsed=47s
progress: nodes=610,000,000 tested=0 found=0 n=4549320800952218658939 elapsed=48s
progress: nodes=620,000,000 tested=0 found=0 n=79678373842001644348353 elapsed=49s
progress: nodes=630,000,000 tested=0 found=0 n=610532373142169069037303 elapsed=49s
progress: nodes=640,000,000 tested=0 found=0 n=498152249394965365097469 elapsed=50s
progress: nodes=650,000,000 tested=0 found=0 n=173494398968259043144899 elapsed=51s
progress: nodes=660,000,000 tested=0 found=0 n=208470052204320462015603 elapsed=52s
progress: nodes=670,000,000 tested=0 found=0 n=150866712212952784945611 elapsed=53s
progress: nodes=680,000,000 tested=0 found=0 n=325119731512328936798901 elapsed=53s
progress: nodes=690,000,000 tested=0 found=0 n=59623362665777022136167 elapsed=54s
progress: nodes=700,000,000 tested=0 found=0 n=31538829908929307246139 elapsed=55s
progress: nodes=710,000,000 tested=0 found=0 n=17780662296110623341003 elapsed=56s
progress: nodes=720,000,000 tested=0 found=0 n=3923002610233013547669 elapsed=57s
progress: nodes=730,000,000 tested=0 found=0 n=161693268554380084663713 elapsed=57s
progress: nodes=740,000,000 tested=0 found=0 n=724511887261908873321909 elapsed=58s
progress: nodes=750,000,000 tested=0 found=0 n=944596739330825197002243 elapsed=59s
progress: nodes=760,000,000 tested=0 found=0 n=710410632518406944646093 elapsed=60s
progress: nodes=770,000,000 tested=0 found=0 n=523105122208915393138563 elapsed=61s
progress: nodes=780,000,000 tested=0 found=0 n=963489328876702743342513 elapsed=62s
progress: nodes=790,000,000 tested=0 found=0 n=896559114438278003057631 elapsed=63s
progress: nodes=800,000,000 tested=0 found=0 n=451728136478958131813163 elapsed=64s
progress: nodes=810,000,000 tested=0 found=0 n=811613109291086960242671 elapsed=65s
progress: nodes=820,000,000 tested=0 found=0 n=894440967857373827423247 elapsed=66s
progress: nodes=830,000,000 tested=0 found=0 n=946023352772295407261223 elapsed=67s
progress: nodes=840,000,000 tested=0 found=0 n=695315403181345294911849 elapsed=68s
progress: nodes=850,000,000 tested=0 found=0 n=937258960632954418993677 elapsed=69s
progress: nodes=860,000,000 tested=0 found=0 n=833940738357136028318271 elapsed=70s
progress: nodes=870,000,000 tested=0 found=0 n=849205549445852039180883 elapsed=71s
