search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
progress: nodes=750,000,000 tested=1,153 found=0 n=45690008052324667735665 elapsed=4394s
progress: nodes=760,000,000 tested=1,153 found=0 n=46327841630778381560055 elapsed=4457s
progress: nodes=770,000,000 tested=1,153 found=0 n=46966114234094681901015 elapsed=4524s
progress: nodes=780,000,000 tested=1,153 found=0 n=47604750179536392761295 elapsed=4593s
progress: nodes=790,000,000 tested=1,153 found=0 n=48243779122822210080855 elapsed=4662s
progress: nodes=800,000,000 tested=1,153 found=0 n=48883042549911551287995 elapsed=4732s
progress: nodes=810,000,000 tested=1,153 found=0 n=49522772448025340045985 elapsed=4802s
progress: nodes=820,000,000 tested=1,153 found=0 n=50162840191711650264615 elapsed=4872s
progress: nodes=830,000,000 tested=1,153 found=0 n=50803208169764064247935 elapsed=4944s
progress: nodes=840,000,000 tested=1,153 found=0 n=51443960605290171341865 elapsed=5017s
progress: nodes=850,000,000 tested=1,153 found=0 n=52084899206810780194755 elapsed=5089s
progress: nodes=860,000,000 tested=1,153 found=0 n=52726189003309788063435 elapsed=5161s
progress: nodes=870,000,000 tested=1,153 found=0 n=53367933681491021183565 elapsed=5233s
progress: nodes=880,000,000 tested=1,153 found=0 n=54010011780715525475265 elapsed=5305s
progress: nodes=890,000,000 tested=2,676 found=0 n=54652393249927230125745 elapsed=5375s
