search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 7
P3 sub-sub-shard: third prime factor = 11
progress: nodes=10,000,000 tested=15 found=0 n=448573213651758196257333 elapsed=12s
progress: nodes=20,000,000 tested=15 found=0 n=932914378425073407459327 elapsed=44s
progress: nodes=30,000,000 tested=15 found=0 n=962638364469431563401411 elapsed=44s
progress: nodes=40,000,000 tested=15 found=0 n=752439443781067940110059 elapsed=45s
progress: nodes=50,000,000 tested=15 found=0 n=973340119880710673191947 elapsed=45s
progress: nodes=60,000,000 tested=15 found=0 n=953558950851455506808481 elapsed=45s
progress: nodes=70,000,000 tested=15 found=0 n=670136085726379590301137 elapsed=46s
progress: nodes=80,000,000 tested=15 found=0 n=853494025294665079772139 elapsed=46s
progress: nodes=90,000,000 tested=15 found=0 n=805565832072585577589673 elapsed=47s
progress: nodes=100,000,000 tested=15 found=0 n=543262078871448364168587 elapsed=47s
progress: nodes=110,000,000 tested=15 found=0 n=748962294978880587083787 elapsed=48s
progress: nodes=120,000,000 tested=15 found=0 n=768907327678668218135403 elapsed=48s
progress: nodes=130,000,000 tested=15 found=0 n=581172344990008511890689 elapsed=49s
progress: nodes=140,000,000 tested=15 found=0 n=853332062458262713251849 elapsed=49s
progress: nodes=150,000,000 tested=15 found=0 n=923198291273609882745291 elapsed=50s
progress: nodes=160,000,000 tested=15 found=0 n=817725819492817261175457 elapsed=50s
progress: nodes=170,000,000 tested=15 found=0 n=546933237505752396656511 elapsed=51s
progress: nodes=180,000,000 tested=15 found=0 n=766943913028316706261117 elapsed=51s
progress: nodes=190,000,000 tested=15 found=0 n=850470898969455089071977 elapsed=51s
progress: nodes=200,000,000 tested=15 found=0 n=767801727037915028773083 elapsed=52s
progress: nodes=210,000,000 tested=15 found=0 n=543953813612532612508989 elapsed=52s
progress: nodes=220,000,000 tested=15 found=0 n=847205209487304950403429 elapsed=53s
progress: nodes=230,000,000 tested=15 found=0 n=358270543437409822979529 elapsed=53s
progress: nodes=240,000,000 tested=15 found=0 n=363822298001715101878791 elapsed=54s
progress: nodes=250,000,000 tested=15 found=0 n=898143489889394772385593 elapsed=54s
progress: nodes=260,000,000 tested=15 found=0 n=731293423742288014145307 elapsed=55s
progress: nodes=270,000,000 tested=15 found=0 n=476746436585507813177607 elapsed=55s
progress: nodes=280,000,000 tested=15 found=0 n=757936490673748765724037 elapsed=56s
