search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 7
P3 sub-sub-shard: third prime factor = 11
progress: nodes=10,000,000 tested=1,274 found=0 n=521952645293954975823723 elapsed=1s
progress: nodes=20,000,000 tested=1,274 found=0 n=153012084268667913392103 elapsed=2s
progress: nodes=30,000,000 tested=1,274 found=0 n=747294245252242559710839 elapsed=2s
progress: nodes=40,000,000 tested=1,274 found=0 n=366816510311542710255837 elapsed=3s
progress: nodes=50,000,000 tested=1,274 found=0 n=978191147423002188088413 elapsed=3s
progress: nodes=60,000,000 tested=1,274 found=0 n=589933800249832868993163 elapsed=4s
progress: nodes=70,000,000 tested=1,274 found=0 n=217665267031856476415583 elapsed=4s
progress: nodes=80,000,000 tested=1,274 found=0 n=819195385559708048060169 elapsed=5s
progress: nodes=90,000,000 tested=1,274 found=0 n=437095132818585828628041 elapsed=5s
progress: nodes=100,000,000 tested=1,274 found=0 n=77467523065681392636993 elapsed=5s
progress: nodes=110,000,000 tested=1,274 found=0 n=664943463013402955901519 elapsed=6s
progress: nodes=120,000,000 tested=1,274 found=0 n=289993111826983953695307 elapsed=6s
progress: nodes=130,000,000 tested=1,274 found=0 n=898314922039289619403539 elapsed=7s
progress: nodes=140,000,000 tested=1,274 found=0 n=514572957088495752708261 elapsed=7s
progress: nodes=150,000,000 tested=1,274 found=0 n=149135868511489158466167 elapsed=8s
progress: nodes=160,000,000 tested=1,274 found=0 n=746329930695208025277111 elapsed=8s
progress: nodes=170,000,000 tested=1,274 found=0 n=368881356815147716180641 elapsed=9s
progress: nodes=180,000,000 tested=1,274 found=0 n=983605662667720943821971 elapsed=9s
progress: nodes=190,000,000 tested=1,274 found=0 n=598604945567662628658063 elapsed=9s
progress: nodes=200,000,000 tested=1,274 found=0 n=229137823397439184751523 elapsed=10s
progress: nodes=210,000,000 tested=1,274 found=0 n=834907961800203574215933 elapsed=10s
progress: nodes=220,000,000 tested=1,274 found=0 n=455553205267830556589703 elapsed=11s
progress: nodes=230,000,000 tested=1,274 found=0 n=96954228817588675301769 elapsed=11s
progress: nodes=240,000,000 tested=1,274 found=0 n=690217974873750356800767 elapsed=12s
progress: nodes=250,000,000 tested=1,274 found=0 n=317052410629196537832537 elapsed=12s
progress: nodes=260,000,000 tested=1,274 found=0 n=930413165040683058545811 elapsed=13s
