search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 11
progress: nodes=10,000,000 tested=1,242 found=0 n=1986003100364617125 elapsed=21s
progress: nodes=20,000,000 tested=1,242 found=0 n=26292775407703192785375 elapsed=44s
progress: nodes=30,000,000 tested=2,166 found=0 n=1270511756984361375 elapsed=65s
progress: nodes=40,000,000 tested=2,166 found=0 n=14319287635244625 elapsed=87s
progress: nodes=50,000,000 tested=2,672 found=0 n=995422576674975183739125 elapsed=88s
progress: nodes=60,000,000 tested=2,672 found=0 n=990071914939988441356125 elapsed=88s
progress: nodes=70,000,000 tested=2,672 found=0 n=994134426362661419413875 elapsed=89s
progress: nodes=80,000,000 tested=2,837 found=0 n=706241964728985321173625 elapsed=89s
progress: nodes=90,000,000 tested=2,837 found=0 n=830154487862841808082625 elapsed=90s
progress: nodes=100,000,000 tested=2,837 found=0 n=956924159649327200293875 elapsed=90s
progress: nodes=110,000,000 tested=2,837 found=0 n=529860192234798941913375 elapsed=91s
progress: nodes=120,000,000 tested=2,837 found=0 n=656607035910915284864625 elapsed=91s
progress: nodes=130,000,000 tested=2,837 found=0 n=786560190433925176454625 elapsed=92s
progress: nodes=140,000,000 tested=2,837 found=0 n=919354490619599827472625 elapsed=92s
progress: nodes=150,000,000 tested=2,837 found=0 n=500222347072328860885125 elapsed=92s
progress: nodes=160,000,000 tested=2,837 found=0 n=632801862370526670025875 elapsed=93s
progress: nodes=170,000,000 tested=2,837 found=0 n=768775505175165549884625 elapsed=93s
progress: nodes=180,000,000 tested=2,837 found=0 n=907530415160961529587375 elapsed=94s
progress: nodes=190,000,000 tested=2,837 found=0 n=495423984319939267547625 elapsed=94s
progress: nodes=200,000,000 tested=2,837 found=0 n=634135710992071180030875 elapsed=95s
progress: nodes=210,000,000 tested=2,837 found=0 n=776696103993114564917625 elapsed=95s
progress: nodes=220,000,000 tested=2,837 found=0 n=922273934731120130333625 elapsed=96s
progress: nodes=230,000,000 tested=2,837 found=0 n=515969064056070766461375 elapsed=96s
progress: nodes=240,000,000 tested=2,837 found=0 n=662034002171841900030375 elapsed=96s
progress: nodes=250,000,000 tested=2,837 found=0 n=811656873510341785504875 elapsed=97s
progress: nodes=260,000,000 tested=2,837 found=0 n=964670215017370203205875 elapsed=97s
progress: nodes=270,000,000 tested=2,837 found=0 n=564094481380657644817125 elapsed=98s
progress: nodes=280,000,000 tested=2,837 found=0 n=717811862084749524769875 elapsed=98s
progress: nodes=290,000,000 tested=2,837 found=0 n=875348676950727089768625 elapsed=99s
progress: nodes=300,000,000 tested=2,837 found=0 n=483203491365664793901375 elapsed=99s
progress: nodes=310,000,000 tested=2,837 found=0 n=640429634681019643915125 elapsed=100s
progress: nodes=320,000,000 tested=2,837 found=0 n=801829268560047456766125 elapsed=100s
progress: nodes=330,000,000 tested=2,837 found=0 n=966822750599578878295125 elapsed=100s
progress: nodes=340,000,000 tested=2,837 found=0 n=577988074799726625799875 elapsed=101s
progress: nodes=350,000,000 tested=2,837 found=0 n=743566567147085384146125 elapsed=101s
progress: nodes=360,000,000 tested=2,837 found=0 n=912974123059270355048625 elapsed=102s
progress: nodes=370,000,000 tested=2,837 found=0 n=531110488385091508108875 elapsed=102s
progress: nodes=380,000,000 tested=2,837 found=0 n=701042567034294649258875 elapsed=103s
progress: nodes=390,000,000 tested=2,837 found=0 n=875204261538298182475875 elapsed=103s
progress: nodes=400,000,000 tested=2,837 found=0 n=499607179751653299401625 elapsed=103s
progress: nodes=410,000,000 tested=2,837 found=0 n=673304885401997009341125 elapsed=104s
progress: nodes=420,000,000 tested=2,837 found=0 n=851392755757281288511125 elapsed=104s
progress: nodes=430,000,000 tested=2,837 found=0 n=480853019172516660041625 elapsed=105s
progress: nodes=440,000,000 tested=2,837 found=0 n=658718939455048289107125 elapsed=105s
progress: nodes=450,000,000 tested=2,837 found=0 n=841203295660413407935125 elapsed=106s
progress: nodes=460,000,000 tested=2,837 found=0 n=475564671626573133507375 elapsed=106s
progress: nodes=470,000,000 tested=2,837 found=0 n=658045548045635247543375 elapsed=107s
progress: nodes=480,000,000 tested=2,837 found=0 n=845563319719123754343375 elapsed=107s
progress: nodes=490,000,000 tested=2,837 found=0 n=485060005404972025243875 elapsed=107s
progress: nodes=500,000,000 tested=2,837 found=0 n=672969897659339111984625 elapsed=108s
progress: nodes=510,000,000 tested=2,837 found=0 n=865947989402590931582625 elapsed=108s
progress: nodes=520,000,000 tested=2,837 found=0 n=509863136151451770034875 elapsed=109s
progress: nodes=530,000,000 tested=2,837 found=0 n=703211719617122987959875 elapsed=109s
progress: nodes=540,000,000 tested=2,837 found=0 n=901376630582689697770125 elapsed=110s
progress: nodes=550,000,000 tested=2,837 found=0 n=548692230147900841245375 elapsed=110s
progress: nodes=560,000,000 tested=2,837 found=0 n=747025130086107874513875 elapsed=111s
progress: nodes=570,000,000 tested=2,837 found=0 n=950118997930880926363875 elapsed=111s
progress: nodes=580,000,000 tested=2,837 found=0 n=601064977399765844711625 elapsed=111s
progress: nodes=590,000,000 tested=2,837 found=0 n=805494799265587447957875 elapsed=112s
progress: nodes=600,000,000 tested=2,837 found=0 n=463838909746615585169625 elapsed=112s
progress: nodes=610,000,000 tested=2,837 found=0 n=669025011033015574818375 elapsed=113s
progress: nodes=620,000,000 tested=2,837 found=0 n=879945635918974298812875 elapsed=113s
progress: nodes=630,000,000 tested=2,837 found=0 n=541721087089857414617625 elapsed=114s
progress: nodes=640,000,000 tested=2,837 found=0 n=753865955267127410651625 elapsed=114s
progress: nodes=650,000,000 tested=2,837 found=0 n=971632393125457289155875 elapsed=114s
progress: nodes=660,000,000 tested=2,837 found=0 n=635979203375943923310375 elapsed=115s
progress: nodes=670,000,000 tested=2,837 found=0 n=854795501389520550919125 elapsed=115s
progress: nodes=680,000,000 tested=2,837 found=0 n=525478452610289351344875 elapsed=116s
progress: nodes=690,000,000 tested=2,837 found=0 n=745495370140199400797625 elapsed=116s
progress: nodes=700,000,000 tested=2,837 found=0 n=971078818927325240669625 elapsed=117s
progress: nodes=710,000,000 tested=2,837 found=0 n=643831502672157881857875 elapsed=117s
progress: nodes=720,000,000 tested=2,837 found=0 n=871653491587802215499625 elapsed=118s
progress: nodes=730,000,000 tested=2,837 found=0 n=550861318090749908149875 elapsed=118s
progress: nodes=740,000,000 tested=2,837 found=0 n=779890050337869644617125 elapsed=118s
progress: nodes=750,000,000 tested=2,837 found=0 n=464893914530222792121375 elapsed=119s
progress: nodes=760,000,000 tested=2,837 found=0 n=695493264633496449775875 elapsed=119s
