3,5,7,13,19
3,5,7,13,17
3,5,7,11,19
3,5,7,11,17
3,5,7,11,13
2,7,13,17,19
2,7,11,17,23
2,7,11,17,19
2,7,11,13,23
2,7,11,13,19
2,7,11,13,17
2,5,17,19,23
2,5,13,19,23
2,5,13,17,29
2,5,13,17,23
2,5,13,17,19
2,5,11,23,29
2,5,11,19,31
2,5,11,19,29
2,5,11,19,23
2,5,11,17,31
2,5,11,17,29
2,5,11,17,23
2,5,11,17,19
2,5,11,13,37
2,5,11,13,31
2,5,11,13,29
2,5,11,13,23
2,5,11,13,19
2,5,11,13,17
2,5,7,31,37
2,5,7,29,37
2,5,7,29,31
2,5,7,23,43
2,5,7,23,41
2,5,7,23,37
2,5,7,23,31
2,5,7,23,29
2,5,7,19,47
2,5,7,19,43
2,5,7,19,41
2,5,7,19,37
2,5,7,19,31
2,5,7,19,29
2,5,7,19,23
2,5,7,17,47
2,5,7,17,43
2,5,7,17,41
2,5,7,17,37
2,5,7,17,31
2,5,7,17,29
2,5,7,17,23
2,5,7,17,19
2,5,7,13,61
2,5,7,13,59
2,5,7,13,53
2,5,7,13,47
2,5,7,13,43
2,5,7,13,41
2,5,7,13,37
2,5,7,13,31
2,5,7,13,29
2,5,7,13,23
2,5,7,13,19
2,5,7,13,17
2,5,7,11,73
2,5,7,11,71
2,5,7,11,67
2,5,7,11,61
2,5,7,11,59
2,5,7,11,53
2,5,7,11,47
2,5,7,11,43
2,5,7,11,41
2,5,7,11,37
2,5,7,11,31
2,5,7,11,29
2,5,7,11,23
2,5,7,11,19
2,5,7,11,17
2,3,31,41,43
2,3,31,37,43
2,3,31,37,41
2,3,29,41,43
2,3,29,37,43
2,3,29,37,41
2,3,29,31,47
2,3,29,31,43
2,3,29,31,41
2,3,29,31,37
2,3,23,43,47
2,3,23,41,47
2,3,23,41,43
2,3,23,37,47
2,3,23,37,43
2,3,23,37,41
2,3,23,31,53
2,3,23,31,47
2,3,23,31,43
2,3,23,31,41
2,3,23,31,37
2,3,23,29,53
2,3,23,29,47
2,3,23,29,43
2,3,23,29,41
2,3,23,29,37
2,3,23,29,31
2,3,19,47,53
2,3,19,43,53
2,3,19,43,47
2,3,19,41,53
2,3,19,41,47
2,3,19,41,43
2,3,19,37,53
2,3,19,37,47
2,3,19,37,43
2,3,19,37,41
2,3,19,31,59
2,3,19,31,53
2,3,19,31,47
2,3,19,31,43
2,3,19,31,41
2,3,19,31,37
2,3,19,29,61
2,3,19,29,59
2,3,19,29,53
2,3,19,29,47
2,3,19,29,43
2,3,19,29,41
2,3,19,29,37
2,3,19,29,31
2,3,19,23,67
2,3,19,23,61
2,3,19,23,59
2,3,19,23,53
2,3,19,23,47
2,3,19,23,43
2,3,19,23,41
2,3,19,23,37
2,3,19,23,31
2,3,19,23,29
2,3,17,47,53
2,3,17,43,53
2,3,17,43,47
2,3,17,41,59
2,3,17,41,53
2,3,17,41,47
2,3,17,41,43
2,3,17,37,61
2,3,17,37,59
2,3,17,37,53
2,3,17,37,47
2,3,17,37,43
2,3,17,37,41
2,3,17,31,61
2,3,17,31,59
2,3,17,31,53
2,3,17,31,47
2,3,17,31,43
2,3,17,31,41
2,3,17,31,37
2,3,17,29,67
2,3,17,29,61
2,3,17,29,59
2,3,17,29,53
2,3,17,29,47
2,3,17,29,43
2,3,17,29,41
2,3,17,29,37
2,3,17,29,31
2,3,17,23,73
2,3,17,23,71
2,3,17,23,67
2,3,17,23,61
2,3,17,23,59
2,3,17,23,53
2,3,17,23,47
2,3,17,23,43
2,3,17,23,41
2,3,17,23,37
2,3,17,23,31
2,3,17,23,29
2,3,17,19,89
2,3,17,19,83
2,3,17,19,79
2,3,17,19,73
2,3,17,19,71
2,3,17,19,67
2,3,17,19,61
2,3,17,19,59
2,3,17,19,53
2,3,17,19,47
2,3,17,19,43
2,3,17,19,41
2,3,17,19,37
2,3,17,19,31
2,3,17,19,29
2,3,17,19,23
2,3,13,61,67
2,3,13,59,67
2,3,13,59,61
2,3,13,53,67
2,3,13,53,61
2,3,13,53,59
2,3,13,47,71
2,3,13,47,67
2,3,13,47,61
2,3,13,47,59
2,3,13,47,53
2,3,13,43,73
2,3,13,43,71
2,3,13,43,67
2,3,13,43,61
2,3,13,43,59
2,3,13,43,53
2,3,13,43,47
2,3,13,41,73
2,3,13,41,71
2,3,13,41,67
2,3,13,41,61
2,3,13,41,59
2,3,13,41,53
2,3,13,41,47
2,3,13,41,43
2,3,13,37,73
2,3,13,37,71
2,3,13,37,67
2,3,13,37,61
2,3,13,37,59
2,3,13,37,53
2,3,13,37,47
2,3,13,37,43
2,3,13,37,41
2,3,13,31,83
2,3,13,31,79
2,3,13,31,73
2,3,13,31,71
2,3,13,31,67
2,3,13,31,61
2,3,13,31,59
2,3,13,31,53
2,3,13,31,47
2,3,13,31,43
2,3,13,31,41
2,3,13,31,37
2,3,13,29,89
2,3,13,29,83
2,3,13,29,79
2,3,13,29,73
2,3,13,29,71
2,3,13,29,67
2,3,13,29,61
2,3,13,29,59
2,3,13,29,53
2,3,13,29,47
2,3,13,29,43
2,3,13,29,41
2,3,13,29,37
2,3,13,29,31
2,3,13,23,107
2,3,13,23,103
2,3,13,23,101
2,3,13,23,97
2,3,13,23,89
2,3,13,23,83
2,3,13,23,79
2,3,13,23,73
2,3,13,23,71
2,3,13,23,67
2,3,13,23,61
2,3,13,23,59
2,3,13,23,53
2,3,13,23,47
2,3,13,23,43
2,3,13,23,41
2,3,13,23,37
2,3,13,23,31
2,3,13,23,29
2,3,13,19,131
2,3,13,19,127
2,3,13,19,113
2,3,13,19,109
2,3,13,19,107
2,3,13,19,103
2,3,13,19,101
2,3,13,19,97
2,3,13,19,89
2,3,13,19,83
2,3,13,19,79
2,3,13,19,73
2,3,13,19,71
2,3,13,19,67
2,3,13,19,61
2,3,13,19,59
2,3,13,19,53
2,3,13,19,47
2,3,13,19,43
2,3,13,19,41
2,3,13,19,37
2,3,13,19,31
2,3,13,19,29
2,3,13,17,157
2,3,13,17,151
2,3,13,17,149
2,3,13,17,139
2,3,13,17,137
2,3,13,17,131
2,3,13,17,127
2,3,13,17,113
2,3,13,17,109
2,3,13,17,107
2,3,13,17,103
2,3,13,17,101
2,3,13,17,97
2,3,13,17,89
2,3,13,17,83
2,3,13,17,79
2,3,13,17,73
2,3,13,17,71
2,3,13,17,67
2,3,13,17,61
2,3,13,17,59
2,3,13,17,53
2,3,13,17,47
2,3,13,17,43
2,3,13,17,41
2,3,13,17,37
2,3,11,73,79
2,3,11,71,79
2,3,11,71,73
2,3,11,67,79
2,3,11,67,73
2,3,11,67,71
2,3,11,61,83
2,3,11,61,79
2,3,11,61,73
2,3,11,61,71
2,3,11,61,67
2,3,11,59,83
2,3,11,59,79
2,3,11,59,73
2,3,11,59,71
2,3,11,59,67
2,3,11,59,61
2,3,11,53,83
2,3,11,53,79
2,3,11,53,73
2,3,11,53,71
2,3,11,53,67
2,3,11,53,61
2,3,11,53,59
2,3,11,47,89
2,3,11,47,83
2,3,11,47,79
2,3,11,47,73
2,3,11,47,71
2,3,11,47,67
2,3,11,47,61
2,3,11,47,59
2,3,11,47,53
2,3,11,43,89
2,3,11,43,83
