search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 13
CAND 35090518125 9995430 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4457, 1)]
CAND 35137756875 9987690 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4463, 1)]
CAND 35279473125 9964470 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4481, 1)]
CAND 35295219375 9961890 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4483, 1)]
CAND 35373950625 9948990 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4493, 1)]
CAND 35484174375 9930930 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4507, 1)]
CAND 35531413125 9923190 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4513, 1)]
CAND 35562905625 9918030 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4517, 1)]
CAND 35578651875 9915450 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4519, 1)]
CAND 35610144375 9910290 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4523, 1)]
CAND 35799099375 9879330 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4547, 1)]
CAND 35814845625 9876750 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4549, 1)]
CAND 35909323125 9861270 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4561, 1)]
CAND 35956561875 9853530 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4567, 1)]
CAND 36082531875 9832890 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4583, 1)]
CAND 36145516875 9822570 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4591, 1)]
CAND 36192755625 9814830 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4597, 1)]
