search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 11
CAND 623752799827125375 9979650 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52640927, 1)]
CAND 623752870922317125 9976950 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52640933, 1)]
CAND 623753036811097875 9970650 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52640947, 1)]
CAND 623753107906289625 9967950 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52640953, 1)]
CAND 623753297493467625 9960750 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52640969, 1)]
CAND 623753321191864875 9959850 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52640971, 1)]
CAND 623753392287056625 9957150 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52640977, 1)]
CAND 623753439683851125 9955350 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52640981, 1)]
CAND 623753652969426375 9947250 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52640999, 1)]
CAND 623753795159809875 9941850 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641011, 1)]
CAND 623753889953398875 9938250 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641019, 1)]
CAND 623754103238974125 9930150 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641037, 1)]
CAND 623754150635768625 9928350 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641041, 1)]
CAND 623754363921343875 9920250 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641059, 1)]
CAND 623754458714932875 9916650 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641067, 1)]
CAND 623754600905316375 9911250 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641079, 1)]
CAND 623754743095699875 9905850 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641091, 1)]
CAND 623755240762042125 9886950 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641133, 1)]
CAND 623755359254028375 9882450 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641143, 1)]
CAND 623755454047617375 9878850 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641151, 1)]
CAND 623755572539603625 9874350 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641161, 1)]
CAND 623755785825178875 9866250 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641179, 1)]
CAND 623756236094726625 9849150 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641217, 1)]
CAND 623756781157863375 9828450 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641263, 1)]
CAND 623757018141835875 9819450 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641283, 1)]
CAND 623757302522602875 9808650 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641307, 1)]
CAND 623757349919397375 9806850 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641311, 1)]
CAND 623757705395356125 9793350 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641341, 1)]
CAND 623757918680931375 9785250 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641359, 1)]
CAND 623757942379328625 9784350 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641361, 1)]
CAND 623758060871314875 9779850 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641371, 1)]
CAND 623758203061698375 9774450 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641383, 1)]
CAND 623758368950479125 9768150 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641397, 1)]
CAND 623758440045670875 9765450 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641403, 1)]
CAND 623758724426437875 9754650 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641427, 1)]
CAND 623758866616821375 9749250 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641439, 1)]
CAND 623758914013615875 9747450 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641443, 1)]
CAND 623759008807204875 9743850 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641451, 1)]
CAND 623759269489574625 9733950 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641473, 1)]
CAND 623759364283163625 9730350 [(3, 2), (5, 3), (11, 1), (59, 1), (16229, 1), (52641481, 1)]
